time,ticker,side,quantity,price,value,status,notes
2026-06-29 07:47:44 PM,TSLA,BUY,10,100.0,1000.0,FILLED,
2026-06-29 07:47:44 PM,TSLA,SELL,5,110.0,550.0,FILLED,Realized P/L $50.0
2026-06-29 08:09:47 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 08:09:47 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 08:14:34 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 08:14:34 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 08:19:44 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 08:19:44 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 08:50:15 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 08:50:15 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 09:06:20 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 09:06:20 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 09:29:28 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 09:29:28 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 09:30:08 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 09:30:08 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 09:30:46 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 09:30:46 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 09:30:52 PM,TSLA,BUY,10,100.0,1000.0,FILLED,
2026-06-29 09:30:52 PM,TSLA,SELL,10,101.0,1010.0,FILLED,Realized P/L $10.0
2026-06-29 09:38:01 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 09:38:01 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 09:38:06 PM,TSLA,BUY,10,100.0,1000.0,FILLED,
2026-06-29 09:38:06 PM,TSLA,SELL,10,101.0,1010.0,FILLED,Realized P/L $10.0
2026-06-29 09:49:10 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 09:49:10 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 09:49:15 PM,TSLA,BUY,10,100.0,1000.0,FILLED,
2026-06-29 09:49:15 PM,TSLA,SELL,10,101.0,1010.0,FILLED,Realized P/L $10.0
2026-06-29 10:07:21 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 10:07:21 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 10:07:26 PM,TSLA,BUY,10,100.0,1000.0,FILLED,
2026-06-29 10:07:26 PM,TSLA,SELL,10,101.0,1010.0,FILLED,Realized P/L $10.0
2026-06-29 10:26:27 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 10:26:27 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 10:26:32 PM,TSLA,BUY,10,100.0,1000.0,FILLED,
2026-06-29 10:26:32 PM,TSLA,SELL,10,101.0,1010.0,FILLED,Realized P/L $10.0
2026-06-29 10:40:33 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 10:40:33 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 10:40:40 PM,TSLA,BUY,10,100.0,1000.0,FILLED,
2026-06-29 10:40:40 PM,TSLA,SELL,10,101.0,1010.0,FILLED,Realized P/L $10.0
2026-06-29 11:00:39 PM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-29 11:00:39 PM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
2026-06-29 11:00:44 PM,TSLA,BUY,10,100.0,1000.0,FILLED,
2026-06-29 11:00:44 PM,TSLA,SELL,10,101.0,1010.0,FILLED,Realized P/L $10.0
2026-06-30 10:28:51 AM,TSLA,BUY,10,100.0,1000.0,FILLED,
2026-06-30 10:28:51 AM,TSLA,SELL,10,101.0,1010.0,FILLED,Realized P/L $10.0
2026-06-30 10:43:54 AM,TSLA,BUY,1,100.0,100.0,FILLED,
2026-06-30 10:43:54 AM,TSLA,SELL,1,101.0,101.0,FILLED,Realized P/L $1.0
